,Image Name,Channel ID,roi_type,label,area,filled_area,major_axis_length,centroid-0,centroid-1,centroid-2,weighted_centroid-0,weighted_centroid-1,weighted_centroid-2,equivalent_diameter,max_intensity,mean_intensity,min_intensity,sphericity,solidity,volume,volume_units,distance_x,distance_y,distance_z,distance3d,distance_units
0,20190730_RI512_CTCF-AID_AUX-CTL_21_22_SIR_2C_ALN_THR_60.ome.tiff,0.0,domain,1.0,1621.0,1621.0,26.466523068881436,21.08266502159161,28.632325724861197,29.398519432449106,21.204572132693585,29.231259108015184,29.655765367504102,14.574538020654416,48400.0,17046.00185070944,6981.0,0.4389859045956179,0.5261278805582603,0.3242,micron^3,,,,,
1,20190730_RI512_CTCF-AID_AUX-CTL_21_22_SIR_2C_ALN_THR_60.ome.tiff,0.0,subdomain,2.0,535.0,535.0,15.20316238762355,20.03551401869159,28.521495327102805,29.59065420560748,20.29941379505496,28.652462449654383,29.60031979222358,,48400.0,17735.814953271027,7348.0,,,0.10700000000000001,micron^3,,,,,
2,20190730_RI512_CTCF-AID_AUX-CTL_21_22_SIR_2C_ALN_THR_60.ome.tiff,1.0,domain,1.0,609.0,609.0,22.966357221662356,21.059113300492612,26.55993431855501,25.362889983579638,21.055078084417712,26.430531546952018,25.381652809536153,10.516540292608164,41779.0,16279.589490968801,6966.0,0.5100761010035507,0.6485623003194888,0.1218,micron^3,,,,,
3,20190730_RI512_CTCF-AID_AUX-CTL_21_22_SIR_2C_ALN_THR_60.ome.tiff,1.0,subdomain,2.0,354.0,354.0,14.926554134706501,20.66949152542373,28.002824858757062,25.364406779661017,20.726714785840862,27.636655213150654,25.361520344561576,,41779.0,17254.71186440678,6966.0,,,0.0708,micron^3,,,,,
4,20190730_RI512_CTCF-AID_AUX-CTL_21_22_SIR_2C_ALN_THR_60.ome.tiff,,overlap,1.0,288.0,288.0,,21.67361111111111,26.15625,27.399305555555557,,,,,,,,,,0.057600000000000005,micron^3,0.170964502318718,0.11202910244252663,0.01868675603448411,0.20525246819041512,micron
5,20190729_RI512_CTCF-AID_AUX-CTL_11_12_SIR_2C_ALN_THR_70.ome.tiff,0.0,domain,1.0,624.0,624.0,23.161890450989056,5.705128205128205,32.982371794871796,19.03525641025641,5.737408873740941,33.15799020947202,18.421235235015125,10.602183642547542,43994.0,14721.84294871795,6713.0,0.6986421031676806,0.7384615384615385,0.12480000000000001,micron^3,,,,,
6,20190729_RI512_CTCF-AID_AUX-CTL_11_12_SIR_2C_ALN_THR_70.ome.tiff,0.0,subdomain,2.0,346.0,346.0,12.726441381377123,5.907514450867052,33.91329479768786,15.167630057803468,5.88475960156479,34.09321289870724,15.04519878341368,,43994.0,16308.306358381504,6713.0,,,0.0692,micron^3,,,,,
7,20190729_RI512_CTCF-AID_AUX-CTL_11_12_SIR_2C_ALN_THR_70.ome.tiff,1.0,domain,1.0,1049.0,1049.0,41.473859573165896,6.073403241182078,32.2602478551001,27.258341277407055,6.08185580932148,33.116280160668,26.548597005858493,12.606434992251144,30469.0,11034.959008579599,4924.0,0.35689730000315056,0.46170774647887325,0.20980000000000001,micron^3,,,,,
8,20190729_RI512_CTCF-AID_AUX-CTL_11_12_SIR_2C_ALN_THR_70.ome.tiff,1.0,subdomain,2.0,208.0,208.0,11.270311304729605,5.072115384615385,30.98076923076923,37.36538461538461,5.041467039950679,31.06121984485911,37.480127693535515,,29708.0,11385.432692307691,5126.0,,,0.041600000000000005,micron^3,,,,,
9,20190729_RI512_CTCF-AID_AUX-CTL_11_12_SIR_2C_ALN_THR_70.ome.tiff,1.0,subdomain,3.0,216.0,216.0,10.32278189072021,5.837962962962963,35.032407407407405,25.61574074074074,5.839677900270705,35.22824512534819,25.28498450311899,,29882.0,11800.462962962964,4950.0,,,0.0432,micron^3,,,,,
10,20190729_RI512_CTCF-AID_AUX-CTL_11_12_SIR_2C_ALN_THR_70.ome.tiff,1.0,subdomain,4.0,340.0,340.0,15.117944771592288,6.864705882352941,36.95,18.570588235294117,6.810305412674911,37.041915465312364,18.71661524032546,,30469.0,12838.655882352941,4924.0,,,0.068,micron^3,,,,,
11,20190729_RI512_CTCF-AID_AUX-CTL_11_12_SIR_2C_ALN_THR_70.ome.tiff,,overlap,1.0,252.0,252.0,,6.091269841269841,33.23412698412698,21.69047619047619,,,,,,,,,,0.0504,micron^3,0.3250944708337347,0.0016684019521608206,0.043055866947567356,0.32793750351301176,micron
12,20191028_RI512_CTCF-AID_AUX-CTL_111_112_SIR_2C_ALN_THR_155.ome.tiff,0.0,domain,1.0,656.0,656.0,19.988776006179357,25.408536585365855,20.899390243902438,11.705792682926829,25.50102479014695,20.61851749145401,11.63862107512907,10.780404889599652,65535.0,24687.53506097561,10890.0,0.5327610265415088,0.7379077615298087,0.1312,micron^3,,,,,
13,20191028_RI512_CTCF-AID_AUX-CTL_111_112_SIR_2C_ALN_THR_155.ome.tiff,0.0,subdomain,2.0,585.0,585.0,16.90799599650599,25.384615384615383,20.76923076923077,12.629059829059829,25.491877840094975,20.49760953849107,12.288175674995486,,65535.0,25470.88888888889,10890.0,,,0.117,micron^3,,,,,
14,20191028_RI512_CTCF-AID_AUX-CTL_111_112_SIR_2C_ALN_THR_155.ome.tiff,1.0,domain,1.0,686.0,686.0,23.116551286442014,24.34985422740525,13.488338192419825,26.91545189504373,24.341188303052427,13.654912345603476,27.333077749730613,10.942296985154808,65535.0,22133.456268221573,9930.0,0.5601206392394806,0.7014314928425358,0.13720000000000002,micron^3,,,,,
